,APE_raw
111,0.08711345896609884
112,0.07135559240194747
113,0.07977544959415765
114,0.10339881869859453
115,0.12991938792078647
116,0.15911027419044957
117,0.1926165307207108
118,0.23067186819222119
119,0.2599137683149795
120,0.2788407997861947
121,0.28532171551279234
122,0.2776137431370466
123,0.2585523990899717
124,0.2306037356089517
125,0.19765126887977646
126,0.1599598909636017
127,0.12144441631167734
128,0.08053881658391246
129,0.0387531767052357
130,0.02026049147438866
131,0.05567808428705337
132,0.09412469111211781
133,0.13302447691138006
134,0.17600239049990002
135,0.21859273569289323
136,0.25758044420944587
137,0.2931653114711318
138,0.3224555989479197
139,0.3473461647083398
140,0.361862675213297
141,0.35483991465535236
142,0.336744766326556
143,0.3091738429162208
144,0.27597479887030446
145,0.23627356557204568
146,0.18703664534167147
147,0.13442064899425069
148,0.08796444295800793
149,0.06089210668242577
150,0.06211779376457941
151,0.0840960226907366
152,0.11757928432755083
153,0.15622452279307864
154,0.1925135825609888
155,0.22741146240502647
156,0.25983329570233127
157,0.2885047082807129
158,0.30913035504581593
159,0.322137740865933
160,0.3267186824538307
161,0.323829562836914
162,0.30492000497226496
163,0.2751407886622063
164,0.24107040382850173
165,0.19396386421813797
166,0.14043877095883933
167,0.09445908345323721
168,0.04974786226659751
169,0.04049041735101933
170,0.07659338818761258
171,0.12003379481237882
172,0.16031905050056142
173,0.20433987933736977
174,0.23947309927454893
175,0.2768221208307456
176,0.2993354428691228
177,0.3037193519084595
178,0.2822486457036631
179,0.24335287937806546
180,0.1990834967496423
181,0.14583448959273998
182,0.09129569208113593
183,0.06287937851578237
184,0.06238580288404594
185,0.06839509554416344
186,0.06339346984980818
187,0.05327058582481573
188,0.03577387663205432
189,0.028224167507949195
190,0.040492354759240234
191,0.06551904956758299
192,0.09442923114294208
193,0.12561049920646744
194,0.16001090467385387
195,0.19225734826879348
196,0.21503814788241743
197,0.22540733870390903
198,0.22174399065262607
199,0.1995739657352234
200,0.16761647781377562
201,0.12960960811473876
202,0.0900361817177115
203,0.060648105637506736
204,0.046197366751446825
205,0.055332398776005494
206,0.08135033487782012
207,0.11108030487828095
208,0.14121851687437767
209,0.17672833741762614
210,0.20479257524573288
211,0.23053280499708517
212,0.25238776561181053
213,0.26328279371478225
214,0.2555362847447616
215,0.2314906195530125
216,0.1977986024703812
217,0.16497663309517707
218,0.13026363268567762
219,0.09860354340941592
220,0.07267350506275166
221,0.0514285411072843
222,0.044865838598499984
223,0.05973899213935978
224,0.08357806601220283
225,0.11323693370239654
226,0.13997222709699958
227,0.17248455588621878
228,0.2035634689363298
229,0.23385776823519183
230,0.255928371317592
231,0.2662338318011644
232,0.2609732433416272
233,0.23789259313068595
234,0.20609200245806478
235,0.16548280291118977
236,0.1320918578571562
237,0.10004584649661637
238,0.07798974013940799
239,0.06762764967670741
240,0.0723594591111693
241,0.08833141195384693
242,0.10676192553388719
243,0.12644341545076845
244,0.1589057048133466
245,0.18631783039535652
246,0.21320528029270155
247,0.2351775772165884
248,0.25956591097759885
249,0.27554973866538846
250,0.2829404192500808
251,0.27678730564056264
252,0.2617478657267452
253,0.2369029911216504
254,0.20760208657446283
255,0.18014942178904092
256,0.1474971448598946
257,0.11173104024438213
258,0.08272114000032742
259,0.053250221242753124
260,0.05673019053616471
261,0.08556847016475214
262,0.1178648208949196
263,0.14748933124128444
264,0.17642756199537435
265,0.20030459499388553
266,0.22324017190265266
267,0.23941311363100531
268,0.2413095763669834
269,0.2314983355445796
270,0.2092033081968661
271,0.18123643629721573
272,0.14659671771603355
273,0.11070964706127638
274,0.07911522374009848
275,0.06137565031679838
276,0.06180891540396374
277,0.07978688887126562
278,0.1001192175103771
279,0.11711862744477393
280,0.12944666162305787
281,0.1354973315424099
282,0.13422972493851942
283,0.12997279004906306
284,0.12170391791585225
285,0.11151121024531317
286,0.10361593277785905
287,0.09832093497342326
288,0.09427274650134201
289,0.09172551192186483
290,0.08817226144501532
291,0.08697241538125963
292,0.08890848582612429
293,0.08774572570328798
294,0.08820307132135376
295,0.08821421525054424
296,0.0849055297427248
297,0.08516006201861946
298,0.08381241692802573
299,0.08202852580115488
