,APE_opt
144,0.245378431000457
145,0.2083079992410639
146,0.16172167180825356
147,0.1115244395315022
148,0.07022739214751177
149,0.05402649029889733
150,0.07948438194963942
151,0.09381359839534507
152,0.1228916600200124
153,0.15798200857294326
154,0.19556334533588973
155,0.2315178964135141
156,0.2657449574019885
157,0.29552779081263364
158,0.3181685943847442
159,0.33282947791778433
160,0.340087824674151
161,0.3325205072879194
162,0.31751898044523724
163,0.289604417395786
164,0.25061116616210016
165,0.20344641209818695
166,0.1482885215251262
167,0.0928430237309921
168,0.039263607829761356
169,0.03197298839992664
170,0.07651848669343533
171,0.12290892226906548
172,0.16426859092509696
173,0.20578691293095294
174,0.24309871958350707
175,0.2782707458057564
176,0.3051165290997505
177,0.31264861593892046
178,0.29422438592592354
179,0.25431497045555346
180,0.20695964881851797
181,0.15442964653221566
182,0.09455662529505994
183,0.052134698092923135
184,0.03452515971199394
185,0.03486880209098317
186,0.030667653086761427
187,0.028582224630696196
188,0.03155028090193205
189,0.042205423245105574
190,0.06404936333689092
191,0.09186897876113914
192,0.12129841732649704
193,0.15286943890383847
194,0.1883762019608013
195,0.2215942935709344
196,0.24514573046665358
197,0.2563303001937206
198,0.2522596838422006
199,0.2308403509641706
200,0.1994516289258982
201,0.1617993726083295
202,0.11975001460875695
203,0.0821221251264321
204,0.04757745187937695
205,0.03103410735037948
206,0.040689914960348586
207,0.07187625024904468
208,0.10260676142186698
209,0.13891134648985826
210,0.16822577726683544
211,0.19408595227417685
212,0.21428613183493594
213,0.22651022293071396
214,0.21936375833414837
215,0.19575073047395392
216,0.16011180647596743
217,0.12779132724610898
218,0.0921992505091821
219,0.06060107925988786
220,0.03441878097625124
221,0.027042466403166685
222,0.04860173995388564
223,0.07786435226577572
224,0.10995650977785257
225,0.1432127572157793
226,0.17055182023856946
227,0.20457259646313242
228,0.23719370183003716
229,0.2679667558558348
230,0.290336202567297
231,0.3001790056706146
232,0.2941165996697598
233,0.26943715908197013
234,0.23639654338546542
235,0.19262009459817012
236,0.15640827209364186
237,0.11977436737206239
238,0.09059594243985876
239,0.06260312549501663
240,0.049401158837519776
241,0.05691265561518351
242,0.07078572905163208
243,0.09050158157902667
244,0.11859986499401515
245,0.14456819631698403
246,0.171808558331939
247,0.19441676629762442
248,0.2197641445145676
249,0.24826085117237845
250,0.2599293724437222
251,0.25236811914886204
252,0.23434137232140034
253,0.21208697774169055
254,0.18347403149056898
255,0.15752217192472773
256,0.12361225098356456
257,0.08844020503586637
258,0.05154476797645519
259,0.017778656670379103
260,0.03823196698303083
261,0.08043053846938782
262,0.06955967422969998
263,0.10424970874177548
264,0.13169842669953324
265,0.15977944924194645
266,0.18473833224043323
267,0.19873256427969543
268,0.19945381273810703
269,0.18437669677168794
270,0.15781687381631304
271,0.1255813368814404
272,0.09125235770777286
273,0.059082955055023686
274,0.033675061567449975
275,0.04226747806188643
276,0.07194243858954107
277,0.10399482110113747
278,0.13334314818260137
279,0.14978955184207318
280,0.16001649314560748
281,0.1629495920048684
282,0.16625766021338323
283,0.1651033190296703
284,0.15360951635158088
285,0.14519459305203192
286,0.13358858080567582
287,0.12890244570830245
288,0.1207737816505469
289,0.11912103470073651
290,0.11842193204614401
291,0.11851991709552555
292,0.11501293242776746
293,0.11433001798228805
294,0.11230674621255414
295,0.11538152916694223
296,0.11055312572740467
297,0.10915837626659908
298,0.10474292489315139
299,0.09976541815997211
